id;title;description;image;keywords;synops_small;synops_med;synops_long;category;channel;language;release_date;duration_sec;topic;Start;End;Integers Missing
963;Surgeons: At the Edge of Life;The major trauma team have just minutes to perform life-saving medical interventions.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0b8rgjc.jpg;BBC, iPlayer, TV, Surgeons: At the Edge of Life, Series 4: Episode 6;The major trauma team have just minutes to perform life-saving medical interventions.;Addenbrooke’s major trauma team and surgeons treat some of the country's most critically injured patients. Multiple teams must decide whether a man's damaged arm can be saved.;The major trauma team in Addenbrooke's are up against the clock to treat some of the country's most critically injured patients. Chef Adrian is rushed to hospital in the early hours of the morning after crashing his motorbike at high speed, trapping his arm between the crash barrier and impaling his abdomen with a piece of metal. Having lost a third of his circulating blood, Adrian is in a critical condition when he arrives in the trauma department’s resus bay with potential internal haemorrhaging along with the threat of losing a limb.  Led by Dr Mariam Imam, a specialist major trauma team rapidly assembles to assess the external damage before Adrian is sent to CT to see if the metal has pierced any vital organs. The scan very quickly rules this out, so all attention turns to his arm and hand, which are so badly mangled that his hand is potentially beyond repair. Emergency surgeons assess the arm and rush Adrian to theatre so that consultant plastic and hand surgeon Alex Reid can explore the extent of the damage. After determining that there is decent blood supply to the hand, Adrian’s limb is stabilised until he can undergo further surgery.  Forty-eight hours later, Adrian is brought back to theatre with consultant plastic and hand surgeon Ian Grant. He and his surgical colleagues must decide whether they can save Adrian's hand.  Back in the emergency department, the major trauma team prepare for the arrival of another injured patient, a 25-year-old man transferred to Addenbrooke's from hospital in Colchester. Cawley has been assaulted and after hitting his head on the pavement has a life-threatening bleed on the brain. Having been assessed at Colchester, Cawley was put in an induced coma to control the build-up of pressure within his brain and then transferred to Addenbrooke's, which has the trauma specialists he needs for treatment.  At Addenbrooke's, the on-call neurosurgical team, with consultant Angelos Kolias and senior registrar Harry Bulstrode, are on standby to perform an emergency craniotomy to remove the build-up of blood within Cawley’s brain.  Back down in resus, the red phone alerts the team of another incoming patient who has been involved in a head-on car accident. Thirty nine-year-old Sarah has been significantly injured in a high-impact collision which has left her with a broken leg and fractured c-spine. If Sarah doesn’t receive emergency care, the spine fracture could become dislodged and sever the spinal cord, leaving her paralysed from the neck down.    With an injury threatening the spinal cord, Dr Sarah Hazelman and a team of trauma doctors immediately arrange for a CT scan to assess the severity of the fracture. After seeing that the fracture is stable, priorities rapidly switch when the scan picks up that a shard of bone from her broken leg is pressing on an artery, which could lead to severe complications and the loss of Sarah's foot if the blood flow is not quickly restored.    On-call trauma and orthopaedic surgeon Hassan Fawi has to act rapidly to reset Sarah's leg and restore the flow of blood. Only then can the attention return to the fractured neck, which needs to be kept stable.    Two days after the accident, consultant orthopaedic spinal surgeon Doug Hay has to carefully rebuild the broken vertebrae in Sarah's neck using a small piece of bone from her hip along with a titanium plate to secure the join. Without the operation, Sarah could become paralysed, but there is also a risk of causing permanent damage to the spinal cord during the operation itself.;Documentary;bbc_two;Contains upsetting scenes.;12/16/2021;3520;lifestyle;963.0;964.0;0.0
964;Joey Essex: Grief and Me;Can Joey Essex heal the grief he has kept inside for 20 years?;https://ichef.bbci.co.uk/images/ic/{recipe}/p09jjmwr.jpg;BBC, iPlayer, TV, Joey Essex: Grief and Me;Can Joey Essex heal the grief he has kept inside for 20 years?;At age ten, Joey Essex's world was ripped apart when his mum tragically took her own life. Having long buried his emotions, after 20 years can he come to terms with his grief?;After ten years in the reality TV spotlight, it might appear that everything in Joey Essex’s life is ‘reem’. But fame and a luxury lifestyle haven’t been able to heal the grief he has kept inside for 20 years. Now, as he turns 30, Joey wants to embark on a deeply personal journey to take stock of his life and, for the sake of his future, finally confront his past.  Every year, 41,00 young people lose a parent in the UK. At the age of just ten, Joey's world was ripped apart when his mum tragically took her own life. Unable to comprehend the loss, Joey has spent the next 20 years of his life burying his grief. He has kept his emotions hidden, rarely spoken about his mother and avoided having pictures of her in his home. But now, as he leaves his twenties behind, he is ready to confront his trauma so he can move forward with his life.  With the help of a clinical psychologist, Dr Stephen Blumenthal, Joey sets out to finally face the impact his beloved mother’s death has had on him. Up until now, he has only really opened up about his childhood with his family, but even his sister Frankie and cousin Chloe recognise that he has never truly processed his feelings or fully faced his bereavement. Opening up to a psychologist and learning to trust Stephen will be a tough first step.  From talking about his emotions to putting more pictures of his mum around his house and finding a way of coping with his anxiety, Joey is determined to face his fears head on. After an unsure start and trust issues threaten to derail the process, he realises that to be able to move on with his life he has to look back at his past. But after 20 years of living this way, can Joey Essex really come to terms with his grief?;Documentary;bbc_three;Contains some strong language.;06/03/2021;3567;lifestyle;964.0;965.0;0.0
965;Saved and Remade;A Swiss clock and a collection of skateboards are transformed.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09dj12k.jpg;BBC, iPlayer, TV, Saved and Remade, Series 1: Episode 20;A Swiss clock and a collection of skateboards are transformed.;A Swiss clock that caused a honeymooning couple’s first argument 40 years ago and a collection of skateboards in need of a new purpose are among the radical transformations.;40 years ago, David and Marion bought a Swiss clock as a souvenir on their honeymoon. Its price led to their first argument, and over the years Marion has been tempted to throw it out, as it is no longer used. But they would like it to become something practical that would remind them of a special time together. Metal sculptor Leigh and carpentry expert Shelley offer rival designs for them to choose between: a transformation into a stunning piece of furniture or an artwork to celebrate their ruby anniversary.  Kierhardy cruises into the workshop in his campervan – not for its transformation but because inside it are several old skateboards. Kierhardy is passionate about skateboarding and combines it with youth work in his community. Metals expert Titch has a radical idea for the skateboards that he hopes will impress everyone down at the skatepark.  And Shelley has a special project of her own to work on. The woodwork specialist’s wife Mags lost her mum recently, and Shelley wants to do something that will give them both something to remember her by. Two old vintage cameras that belonged to Mags’s mum are no longer used, but they captured a lifetime of travels and adventures. Shelley designs beautiful pieces of art that bring the cameras back into focus.;Documentary;bbc_two;FALSE;04/23/2021;1751;lifestyle;965.0;966.0;0.0
966;Reflections at the Quay;An hour-long special Reflections at the Quay for Christmas from the BBC in Glasgow.;https://ichef.bbci.co.uk/images/ic/{recipe}/p087s7p9.jpg;BBC, iPlayer, TV, Reflections at the Quay, Christmas Special;An hour-long special Reflections at the Quay for Christmas from the BBC in Glasgow.;In a Christmas special from the BBC in Glasgow, Canon Michael McMahon of St Convals, Linwood, and the Rev Maggie McTernan of St Mary’s Cathedral, Glasgow, reflect on the Christmas story.;In an hour-long special Reflections at the Quay for Christmas from the BBC in Glasgow, Canon Michael McMahon of St Covals, Linwood and Rev Maggie McTernan of St Mary’s Cathedral, Glasgow reflect on the journeys in the Christmas story and journeys today.   Prof Ard Louis talks of reconciling his work as a scientist with his belief in the meaning of Christmas, and Fiona Stewart’s poem follows that theme. Music, from Greyfriars Kirk in Edinburgh, is by an alumni choir from the National Youth Choir of Scotland and the Royal Conservatoire of Scotland Junior Chamber Choir.;Lifestyle;bbc_one_scotland;FALSE;12/25/2021;3545;lifestyle;966.0;967.0;0.0
967;Your Garden Made Perfect;Debi and Des want their sloped garden to be transformed into a relaxing family area.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bndfwv.jpg;BBC, iPlayer, TV, Your Garden Made Perfect, Series 2: 3. Debi and Des;Debi and Des want their sloped garden to be transformed into a relaxing family area.;Debi and Des want their uninspiring sloped garden to be transformed into a relaxing space that the whole family can enjoy. Will designers Oliver Bond and Helen Elks-Smith be up to the task?;Debi and Des live in Enfield, London. Their beautiful family home has a generous urban plot, but it sits on a massive slope that is currently only used as an outdoor exercise space for Des, whose studio gym sits at the end of the garden. Debi would like a space she can relax in after a hard day's work, but the real dream would be transforming the plot into a family space for everyone to enjoy. Having stared out at their uninspiring plot for years, Debi and Des are desperate for a solution.  Stepping up to help are award-winning garden designers Oliver Bond and Helen Elks-Smith. Oliver has got big ideas on how to identify and define new zones in the space, whilst Helen finds an unexpected sweet spot right in the heart of the plot. Using virtual reality, both designers pitch their radically different approaches. Either one would be a perfect fit, but which will the couple choose?;Documentary;bbc_two;FALSE;02/18/2022;3540;lifestyle;967.0;968.0;0.0
968;Canal Boat Diaries;There are engine issues and a leaky boat to fix before Robbie reaches Liverpool Docks.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07tmvlt.jpg;BBC, iPlayer, TV, Canal Boat Diaries, Series 1: 5. Barton Swing Aqueduct to Liverpool Docks;There are engine issues and a leaky boat to fix before Robbie reaches Liverpool Docks.;Life on board a narrowboat with Robbie Cumming. There are engine issues and a leaky boat to fix before Robbie reaches Liverpool Docks.;Life on board a narrowboat with Robbie Cumming. There are engine issues and a leaky boat to fix before Robbie reaches Liverpool Docks.;Documentary;bbc_four;FALSE;11/26/2019;1739;lifestyle;968.0;969.0;0.0
969;Sunday Morning Stories;Kate Bottley hears about a cathedral helping people back on to their feet and into work.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08d80z5.jpg;BBC, iPlayer, TV, Sunday Morning Stories, Series 2: Episode 8;Kate Bottley hears about a cathedral helping people back on to their feet and into work.;The Rev Kate Bottley shares the uplifting stories of a man who found religion and denounced violence, and a cathedral helping people back on to their feet and into the workplace.;The Rev Kate Bottley shares a collection of uplifting stories from people who have used their faith to make a fresh start in their lives. She hears from a man who found religion and denounced violence, and a cathedral helping people back on to their feet and into the workplace.;Lifestyle;bbc_one;FALSE;05/30/2021;1738;lifestyle;969.0;970.0;0.0
970;Art agus Tomaí san Eoraip;Art Hughes and Tomaí Ó Conghaile visit the annual Festa Major in Vilafranca in Catalonia.;https://ichef.bbci.co.uk/images/ic/{recipe}/p01l9f6k.jpg;BBC, iPlayer, TV, Art agus Tomaí san Eoraip, 3. An Chatalóin/Catalonia;Art Hughes and Tomaí Ó Conghaile visit the annual Festa Major in Vilafranca in Catalonia.;Art Hughes and Tomaí Ó Conghaile visit the annual Festa Major in Vilafranca in Catalonia, one of the world's loudest and most colourful festivals.;The annual Festa Major in Vilafranca in Catalonia is one of the world's loudest and most colourful festivals. Art Hughes and Tomaí Ó Conghaile are there, witnessing the death-defying sport of castells - human towers ten levels high that dodge fire and fireworks in a terrifying climax.;Documentary;bbc_two_northern_ireland_digital;FALSE;04/22/2013;1739;lifestyle;970.0;971.0;0.0
971;The Voices in My Head;An insight into the world of three people who hear voices as a result of mental illness.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07jxyd5.jpg;BBC, iPlayer, TV, The Voices in My Head;An insight into the world of three people who hear voices as a result of mental illness.;Documentary using audio reconstruction to take viewers into the world of three people who hear voices as a result of mental illness.;Documentary using audio reconstruction to take viewers in to the world of three people who hear voices as a result of mental illness. Around 1 in 10 adults hear voices in their heads as a result of a number of mental illnesses, including schizophrenia.   Kyle started hearing a voice after he lost his job, house and girlfriend in quick succession, he then attacked himself. As Kyle tries to control the voice, he has to come to terms with the possibility that he may have to get used to life with it.   Emmalina has been hearing a collection of voices since she was a child and has found that by welcoming them in, they can all live relatively peacefully - except when the voice of 'the devil' appears. After traumatic experiences earlier in her life, the voices have become a source of comfort and companionship, but they have also made her more isolated. We follow Emmalina as she strives to become more independent.   After four years Chaz is still fighting her voice, which keeps up a steady stream of abuse in Chaz's ear. She has jumped off a bridge twice, leaving her reliant on a wheelchair - but still she feels drawn back to a nearby bridge. The film follows her attempts to resist, as she looks to poetry as a way to cope.;Documentary;bbc_three;FALSE;05/22/2018;2891;lifestyle;971.0;972.0;0.0
972;Fern Britton Meets...;Fern Britton speaks to recording artist and actress Barbara Dickson.;https://ichef.bbci.co.uk/images/ic/{recipe}/p05q4m31.jpg;BBC, iPlayer, TV, Fern Britton Meets..., Series 9: 3. Barbara Dickson;Fern Britton speaks to recording artist and actress Barbara Dickson.;Fern Britton speaks to recording artist and actress Barbara Dickson. They discuss her singing career, struggles with anxiety and the role that faith has played in her life.;Fern Britton speaks to recording artist and actress Barbara Dickson. Barbara describes how, a folk singer by heart, she was restyled as a pop star but has always been cautious about the shallowness of fame. She reveals that at the height of her success she came close to breaking point, after suffering from exhaustion and anxiety. Barbara also talks about how her conversion to Catholicism helped her overcome many obstacles and how faith is a key part of her life.;Lifestyle;bbc_one;FALSE;12/03/2017;3480;lifestyle;972.0;973.0;0.0
973;Monty Don's Japanese Gardens;Monty Don explores rooftop gardens and takes lessons in the intricate art of bonsai.;https://ichef.bbci.co.uk/images/ic/{recipe}/p070wg9f.jpg;BBC, iPlayer, TV, Monty Dons Japanese Gardens, Series 1: Episode 2;Monty Don explores rooftop gardens and takes lessons in the intricate art of bonsai.;Monty Don returns to Japan during the fiery blaze of autumn. He explores rooftop gardens and takes lessons in the intricate art of bonsai.;Monty Don returns to Japan during the fiery blaze of autumn. He begins as he did in spring, at one of 'the three great gardens of Japan' to learn how they protect the garden from the coming winter.  He follows the history of the Japanese garden through the military strongholds of leaders past to the many styles, new and old, of the iconic stroll garden, and discovers a slice of Victorian England in the heart of Tokyo. He learns how the Japanese are weaving nature into their concrete urban jungle.  Monty explores rooftop gardens and takes lessons in the intricate art of bonsai and moss balls, as well as visiting an astounding modern feat of architecture and garden design. He ends his journey by the Sea of Japan at a place that literally makes art out of its gardens.;Documentary;bbc_two;FALSE;02/22/2019;3540;lifestyle;973.0;974.0;0.0
974;Sunday Worship;A joyful and uplifting service to mark the Christian festival of Pentecost.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09hsmvv.jpg;BBC, iPlayer, TV, Sunday Worship, 2021: A Celebration for Pentecost;A joyful and uplifting service to mark the Christian festival of Pentecost.;Live from All Saints' Church, Woodford Wells, a joyful and uplifting service to mark the Christian festival of Pentecost.;A joyful and uplifting service, live from All Saints' Church, Woodford Wells, to mark the Christian festival of Pentecost. The service is introduced by the Rev Paul Harcourt, Becky Harcourt and Yasmin Omotosho. Songs and hymns include This Is Amazing Grace, Spirit Break Out, Waymaker and How Great Thou Art, sung by members of All Saints’ worship group, led by Martin Donovan.;Lifestyle;bbc_one;FALSE;05/23/2021;3483;lifestyle;974.0;975.0;0.0
975;Kicked Out: From Care to Chaos;Becky Southworth finds out why many children leaving care end up leading troubled lives.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09mtm7t.jpg;BBC, iPlayer, TV, Kicked Out: From Care to Chaos;Becky Southworth finds out why many children leaving care end up leading troubled lives.;Documentary in which Becky Southworth, herself taken into social services care, explores why so many children who lived in care end up living troubled lives.;Deeply personal documentary in which Becky Southworth traces her own life - abused as a child and then taken into social services care. She explores why so many people end up living such troubled lives after they leave the care system.;Documentary;bbc_three;Contains some strong language.;04/06/2017;2418;lifestyle;975.0;976.0;0.0
976;Incredible Journeys with Simon Reeve;Simon looks at his journeys across the world’s most spectacular and unspoilt wildernesses.;https://ichef.bbci.co.uk/images/ic/{recipe}/p096cr64.jpg;BBC, iPlayer, TV, Incredible Journeys with Simon Reeve, Series 1: Episode 4;Simon looks at his journeys across the world’s most spectacular and unspoilt wildernesses.;Simon looks at his journeys through some of the world’s most spectacular and unspoilt wildernesses, and reflects on the huge challenges faced when trying to protect them.;In the final programme, Simon looks at his journeys through some of the world’s most spectacular and unspoilt wildernesses, and reflects on the huge challenges faced when trying to protect them.  From the vast, icy expanses of Siberia to the tropical forests of Central and South America, Simon’s films have repeatedly exposed the causes and consequences of climate change, as well as suggesting solutions to one of the greatest issues facing mankind. And from Hawaii to the Mediterranean, Simon was one of the first TV journalists to expose the horrifying extent of plastic pollution in our oceans.  Here, Simon recalls some of the meetings with indigenous peoples from around the world who have had first-hand experience of the damage being done to our planet.;Documentary;bbc_two;FALSE;02/14/2021;3508;lifestyle;976.0;977.0;0.0
977;Easter from King's;Music and readings for Holy Week, directed by Daniel Hyde.;https://ichef.bbci.co.uk/images/ic/{recipe}/p01m622l.jpg;BBC, iPlayer, TV, Easter from Kings, 2021;Music and readings for Holy Week, directed by Daniel Hyde.;Music and readings for Holy Week with the choristers of the Choir of King’s College, Cambridge and the King’s Singers, directed by Daniel Hyde.;Music and readings for Holy Week with the choristers of the Choir of King’s College, Cambridge and the King’s Singers, directed by Daniel Hyde.  Well-loved choral music for the season includes Ubi Caritas (Durufle), God So Loved the World (Stainer), When I Survey the Wondrous Cross and This Joyful Eastertide (arr. Malcolm Archer). The story of Jesus's death and resurrection is told in the cherished words of the King James Bible, read by members of King’s College.  Filmed in the fan-vaulted chapel without a congregation and socially distanced to comply with Covid-19 regulations.;Lifestyle;bbc_two;FALSE;04/03/2021;4434;lifestyle;977.0;978.0;0.0
978;Mediterranean with Simon Reeve;Simon travels across the sea to Spain, and on to Corsica and the French Riviera.;https://ichef.bbci.co.uk/images/ic/{recipe}/p06pylc7.jpg;BBC, iPlayer, TV, Mediterranean with Simon Reeve, Series 1: Episode 4;Simon travels across the sea to Spain, and on to Corsica and the French Riviera.;Simon Reeve embarks on the fourth and final leg of his journey around the Mediterranean, travelling from Morocco, across the sea to Spain, and on to Corsica and the French Riviera.;Simon Reeve embarks on the fourth and final leg of his epic four-part journey around the Mediterranean. Taking a ferry across the Strait of Gibraltar, Simon's first stop is Ceuta, a Spanish exclave surrounded by Morocco. This is one of the few land borders between Africa and the European Union. Simon joins the Spanish border police who check engines and even dashboards for stowaways trying to reach Europe. Migrant and refugees attempting to cross Ceuta's fortress border have quadrupled in the last year. Undaunted by Morocco's failure to issue a filming permit, Simon crosses the border as a tourist, tracking down a group of young migrants hiding out in a forest close to Ceuta. They have travelled thousands of miles, crossing the Sahara to get this far, and now they are just a 20-foot, razor wire fence away from their European dream.  Crossing the Med to Spain, one the busiest shipping lanes in the world, Simon discovers huge numbers of dolphins and even giant whales surviving by dodging the ferries, container ships and oil tankers. Travelling along the arid southern Spanish coast, Simon takes to air to witness the sea of plastic that form over a hundred square miles of greenhouses. It is where much of our supermarket fruit and veg are grown, but as Simon discovers it is a massive industry built on the back of a low paid, migrant workforce. Following in the footsteps of four million Brits who make the journey every year, Simon travels to the Costa Blanca and its most famous resort, Benidorm. Derided by many, Simon is surprised to learn that high-rise Benidorm is now being hailed by experts as a model of sustainable tourism. The Mediterranean region attracts a third of world tourism and visitor numbers are predicted to rise to half a billion a year by the end of the next decade. Simon travels to a western corner of Corsica, a nature reserve that must be one of the most heavily protected bits of sea on earth, and one of the few places where tourists are actively discouraged from visiting. Lying on the beach, hiking in the mountains and watersport activities are all banned. The park's manager shows Simon the results, taking him for a dive in the fishiest place in the Med. In a sea where over ninety percent of fish stocks are over exploited, it is a beacon of hope in what is otherwise an uncertain future for the Mediterranean.;Documentary;bbc_two;FALSE;10/28/2018;3543;lifestyle;978.0;979.0;0.0
979;On Call to a Nation;A programme about doctors, and the NHS as they see it - ten years after it started. (1958);https://ichef.bbci.co.uk/images/ic/{recipe}/p01jydld.jpg;BBC, iPlayer, TV, On Call to a Nation;A programme about doctors, and the NHS as they see it - ten years after it started. (1958);Casting real doctors instead of actors, this film uses scripted scenarios and interviews to see the National Health Service through their eyes. (1958);Casting real doctors instead of actors, this film uses scripted scenarios and interviews to see the National Health Service through their eyes. The documentary also shows that there is still division among doctors as to whether the NHS was a sound idea in the first place. (1958);Documentary;bbc_webonly;FALSE;10/22/1958;4313;lifestyle;979.0;980.0;0.0
980;Hospital;With restoration funding uncertain, robotic state-of-the-art surgery hangs in the balance.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09l2dwf.jpg;BBC, iPlayer, TV, Hospital, Series 7: Episode 6;With restoration funding uncertain, robotic state-of-the-art surgery hangs in the balance.;After a year on hold, Plastic Surgery can finally tackle its backlog. But with NHS restoration funding unclear, difficult decisions must be made over the investment in robotic surgery.;University Hospitals Coventry and Warwickshire NHS Trust is assessing the aftermath of the pandemic and its long-term impact. The Trust needs to adapt to a ‘new normal’ of massive waiting lists, new funding challenges and the growing realisation of Covid-19’s long term effects on affected patients.  At last, the plastic surgery department is finally able to start elective operations again. Except for emergencies, the department has not been able to perform these surgeries at all during the pandemic. Over 500 patients are waiting for treatment, many of whom require life-changing surgery.  But with NHS restoration funding unclear, difficult decisions must be made over the investment in robotic surgery.;Documentary;bbc_two;FALSE;06/15/2021;3540;lifestyle;980.0;981.0;0.0
981;Write Around the World with Richard E. Grant;Richard E. Grant travels in the footsteps of writers inspired by Andalucia.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09qmzyd.jpg;BBC, iPlayer, TV, Write Around the World with Richard E. Grant, Series 1: Episode 3;Richard E. Grant travels in the footsteps of writers inspired by Andalucia.;Richard E. Grant travels to Andalucia in southern Spain, in the footsteps of great writers, past and present, whose work has been inspired by the country and its culture.;Book and travel lover Richard E. Grant journeys to Andalucia, visiting Granada, the Alpujarras, the Taja Gorge, Almuñécar and Marbella, in the footsteps of writers inspired by the country, its culture and history.  Reading key passages from their books as he goes along, including works by Federico García Lorca, Ernest Hemingway, Laurie Lee and JG Ballard, Richard not only learns about the lives of these great authors, but also experiences many of the places immortalised in the literary classics they created.;Documentary;bbc_four;Contains some upsetting scenes.;08/03/2021;3540;lifestyle;981.0;982.0;0.0
982;Gardening Together with Diarmuid Gavin;Diarmuid Gavin invites us into his garden, encouraging everyone to get gardening together.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08ktsd3.jpg;BBC, iPlayer, TV, Gardening Together with Diarmuid Gavin, Series 1 - 15-Minute Versions: Episode 10;Diarmuid Gavin invites us into his garden, encouraging everyone to get gardening together.;;Diarmuid Gavin invites us into his garden, encouraging everyone to get gardening together.;Lifestyle;bbc_one_northern_ireland;FALSE;01/19/2022;540;lifestyle;982.0;983.0;0.0
983;Pandemic 2020;As the pandemic continues, reason and science battle conspiracy and denial.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09bxtlh.jpg;BBC, iPlayer, TV, Pandemic 2020, Series 1: 3. Brave New World;As the pandemic continues, reason and science battle conspiracy and denial.;From the Amazon to churches in the US and the slums of Delhi, reason and science battle conspiracy and denial.;As the pandemic continues, people are increasingly looking for someone to blame, and asking whether life can ever return to normal. Covid-19 deniers become more numerous and vocal as alternative and conspiratorial thought battles conventional science-based reason.  Prakash, a wedding singer from Delhi, begins to question why lockdown continues while so many in his community are unaffected by the virus. In Louisiana, Pastor Spell faces jail after he refuses to close his church or observe social distancing. He believes that the dangers of the virus have been exaggerated to politically discredit President Trump.  Abu is from East London and is a member of the Bangladeshi community who have suffered a disproportionate number of deaths during the pandemic. He runs a charity that helps families meet burial costs. One of the families he helps is Sheouli’s, whose husband died of Covid-19, leaving her and their six-year-old son behind. Meanwhile, Takuma, from an indigenous community in the Amazon, helps his village prepare for the inevitable arrival of the virus.  The film ends on New Year’s Eve 2020, exactly a year after the series started. The first vaccine in the world has just been given at a hospital in Coventry, England, where Amie - the doctor featured in the first episode - works. She is in bed - sick with Covid.;Documentary;bbc_two;Contains some strong language and upsetting scenes.;04/01/2021;3570;lifestyle;983.0;984.0;0.0
984;A Celebration for Commonwealth Day;Anita Rani introduces a celebration of Commonwealth Day from Westminster Abbey.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0990ct0.jpg;BBC, iPlayer, TV, A Celebration for Commonwealth Day, 2021;Anita Rani introduces a celebration of Commonwealth Day from Westminster Abbey.;Anita Rani introduces a celebration of Commonwealth Day from Westminster Abbey. The Queen shares her annual message, and Nitin Sawhney, Lianne La Havas, Alexis Ffrench perform.;To mark Commonwealth Day, the Queen shares her annual message. Other members of the Royal Family, including the Prince of Wales, the Duchess of Cornwall, the Duke and Duchess of Cambridge and the Countess of Wessex, join the celebrations and speak about why our Commonwealth links are so important. Presented by Anita Rani from Westminster Abbey, the celebration hears voices from across the world alongside music and readings, including performances by Nitin Sawhney, Lianne La Havas, Alexis Ffrench and a reflection by double Commonwealth gold medal-winning athlete Denise Lewis.;Lifestyle;bbc_one;FALSE;03/07/2021;3570;lifestyle;984.0;985.0;0.0
985;Iain Robertson Rambles;Iain Robertson celebrates Scotland's landscape on the last leg of his 131-mile ramble.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bkn06m.jpg;BBC, iPlayer, TV, Iain Robertson Rambles, Series 2: 6. Speyside;Iain Robertson celebrates Scotland's landscape on the last leg of his 131-mile ramble.;For the final third of his 131-mile Speyside Way trek, Iain Robertson is joined by musician Paul Anderson and actor Joanne Gallagher as they celebrate Scotland's landscape.;Packing in as much as he possibly can into the final third of the 131-mile Speyside Way walk, Iain Robertson celebrates the river’s whisky tradition, fairy walks and even one of his favourite Scottish landmarks.  Heading out of Ballindalloch, Iain is joined by musician Paul Anderson, who teases Iain with the promise of a tune on the fiddle if he manages the extra few miles past Aberlour to Craigellachie Bridge. Paul explains that the River Spey is the fastest flowing river in the British Isles despite its deceptively gentle look. As they head across bouncy bridges and past the smell of the whisky mash, they take the decision to push on to Craigellachie bridge, where Paul treats Iain to a tune dedicated to the brig.  The next day sees Iain stunned and cheered as he unexpectedly catches a glimpse of the sea. From his vantage point, he watches the River Spey snake its way through Morayshire and join the Moray Firth into the North Sea. Buoyed by this, he pushes forward on his adventure towards Fochabers, knowing that the next day he will be following the Spey all the way to the sea. Finally reaching the coast, Iain realises that this is a moment he will never forget as his achievement begins to sink in.  Although this may be a fitting point to end his adventure, Iain pushes on and joins the Moray Coast Trail, heading towards Cullen before eventually making it to Buckie. He enjoys another slight diversion before starting his final day with a ramble along a fairy path, spotting small fairy houses that have been erected on the path up to Craigmin Bridge.  As he returns to Buckie, he is joined by actor and playwright Joanne Gallagher for the last few miles of his journey. The walking on this stretch offers outstanding views of Scotland’s coast, but Iain is keen to push forward to enjoy some time at Bow Fiddle Rock, one of his favourite spots. Soon after, they reach the beach in Cullen, and Iain takes his shoes off to saunter the last few hundred metres of the way through the surf as he reminisces about the last 131 miles and the friends who helped make it so memorable.;Lifestyle;bbc_scotland;FALSE;02/10/2022;1697;lifestyle;985.0;986.0;0.0
986;With God on our Side;Mary McAleese asks what role religion played in Northern Ireland’s conflict.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0b3vsv5.jpg;BBC, iPlayer, TV, With God on our Side;Mary McAleese asks what role religion played in Northern Ireland’s conflict.;Mary McAleese meets politicians and peacemakers, perpetrators and victims of violence, to ask what role religion played in creating and resolving Northern Ireland’s conflict.;On the centenary of Partition, Mary McAleese, the Belfast-born former President of Ireland, examines the role religion has played in creating and resolving conflict in Northern Ireland. In a series of encounters – with politicians and peacemakers, with perpetrators and victims of violence – she asks what religion has done for us, and to us, and assesses the role it could yet play in sustaining peace.   In the last interview before her death, Pat Hume, widow of the late Nobel Peace Laureate, John, discusses the faith and vision that sustained him.   Mary finds common ground with her ex-student, the former DUP First Minister, Arlene Foster, whose family, like her own, was forced from their home by paramilitaries, but who sees a positive role for faith in building mutual understanding.    Alan McBride, whose wife and father-in-law were among 10 people killed in the Shankill fish shop bomb, later agreed to meet Gerry Adams, who had helped carry the coffin of the bomber, Thomas Begley. Alan’s faith has inspired him to a life of cross-community support for victims of trauma.   Former Sinn Fein President, Gerry Adams, discusses the role played by Clonard priest, Fr Alec Reid in engineering secret talks between himself and John Hume, to create a pathway to peace for the IRA. The Rev Harold Good, who was one of only two people trusted by all sides to verify weapons decommissioning, talks of the need for churches to leave their silos and engage with people with whom they disagree in what he calls the No Man’s Land of a divided society.   Russell Watton, who was given three life sentences for a Loyalist gun attack on a Catholic bar, is now committed to peaceful, democratic politics as a PUP councillor. He questions the extent to which the Loyalist cause was ever 'For God and Ulster' as the UVF motto declared. Seana Walsh served three sentences for his role in the IRA and was a close friend of the hunger striker, Bobby Sands. But was he a Provo because of his Catholic faith or in spite of it?    Finally, Mary meets a group of young people, born after the Good Friday Agreement, for whom the old Protestant/Catholic, British/Irish labels are no longer adequate.;Documentary;bbc_one_northern_ireland;FALSE;11/15/2021;3479;lifestyle;986.0;987.0;0.0
